Full_Name,Email,Phone,Address,Order_Date,Product,Price,Quantity,Remarks
Meena Singh,user357@example.com,8277034436,Delhi!!!,22-09-2021,Headphones,23582,2,urgent!!!
Anu Singh,user415@example.com,6243470113,Chennai!!!,09-08-2023,Laptop,37657.15,4,deliver fast!!!
Raj Kumar,user455@example.com,9791697766,Delhi!!!,10-06-2021,Tablet,26408.63,6,     
John Reddy,user380@example.com,9423562074,Mumbai!!!,09-03-2025,Laptop,12910.9,7,ok!!!
Kiran Kumar,user190@example.com,6069622324,Hyderabad!!!,17-10-2020,Tablet,6583.21,8,     
Kiran Singh,user233@example.com,6178382675,  Mumbai  ,17-07-2022,Laptop,4851.46,6,  urgent  
John Singh,user241@example.com,8153357858,Delhi!!!,09-02-2023,Tablet,15682.86,8,  deliver fast  
John Das,user248@example.com,,  Mumbai  ,20-10-2021,Mobile,45403.44,5,deliver fast!!!
Raj Reddy,user167@example.com,9536046255,  Delhi  ,14-10-2021,Laptop,39018.82,3,urgent!!!
Kiran Reddy,user482@example.com,8722250450,  Bangalore  ,18-02-2023,Headphones,13008.66,10, !!!
John Sharma,user476@example.com,6035224915,  Hyderabad  ,22-12-2022,Headphones,11477.62,4,  urgent  
Raj Reddy,user272@example.com,8571069073,  Hyderabad  ,21-06-2022,Camera,23641.1,1,review!!!
Raj Reddy,user118@example.com,8522072694,Bangalore!!!,25-07-2024,Tablet,27462.36,4,  ok  
John Reddy,user276@example.com,8070086433,Bangalore!!!,27-06-2021,Laptop,44087.18,7,  ok  
John Das,user343@example.com,8617339849,Delhi!!!,20-06-2022,Laptop,13649.9,4,ok!!!
Anu Singh,user142@example.com,9635903170,Mumbai!!!,25-08-2023,Mobile,3286.88,2,review!!!
Raj Singh,user192@example.com,7306829485,  Bangalore  ,04-07-2023,Laptop,23409.16,6, !!!
Meena Das,user107@example.com,7812583979,  Bangalore  ,22-04-2023,Laptop,12707.81,1,  ok  
Meena Kumar,user176@example.com,7925141795,Hyderabad!!!,08-10-2020,Laptop,49645.87,4,deliver fast!!!
Meena Kumar,user179@example.com,7549657500,Delhi!!!,23-08-2025,Headphones,10841.56,1,urgent!!!
Anu Kumar,,8628051210,Chennai!!!,08-10-2024,Laptop,40650.16,1,urgent!!!
Kiran Sharma,user138@example.com,8061001097,Delhi!!!,27-01-2024,Camera,15204.49,6,deliver fast!!!
Meena Reddy,,7841838885,  Bangalore  ,05-02-2023,Camera,34779.43,2,  urgent  
Anu Kumar,user426@example.com,7645887651,Delhi!!!,27-08-2021,Laptop,16892.41,10,urgent!!!
Meena Das,user422@example.com,6863394808,Chennai!!!,06-01-2023,Headphones,2594.07,9,review!!!
Raj Reddy,,,  Mumbai  ,24-09-2021,Camera,45451.76,8,  ok  
John Kumar,user8@example.com,6942993304,  Hyderabad  ,17-09-2025,Camera,9166.78,10,  urgent  
John Das,user182@example.com,,  Bangalore  ,18-06-2021,Laptop,18455.95,6,  ok  
Raj Das,user326@example.com,6506843676,  Bangalore  ,27-01-2022,Mobile,4119.15,3,ok!!!
Meena Kumar,user204@example.com,,  Chennai  ,16-08-2022,Mobile,18000.24,8,deliver fast!!!
Kiran Das,user140@example.com,9865434306,  Chennai  ,06-03-2023,Mobile,7453.74,10,ok!!!
John Reddy,,,Delhi!!!,10-12-2021,Headphones,26473.86,1,  review  
John Kumar,user181@example.com,8196483412,Mumbai!!!,20-11-2025,Camera,10231.82,3,  review  
John Das,user161@example.com,9496846450,  Chennai  ,10-08-2022,Laptop,27323.61,1,  deliver fast  
John Sharma,user310@example.com,8858079614,  Chennai  ,05-03-2022,Tablet,6343.88,6, !!!
Raj Das,user94@example.com,8382818474,Mumbai!!!,04-10-2023,Camera,46671.51,1,review!!!
Raj Das,user407@example.com,7270553300,  Chennai  ,12-08-2023,Mobile,17413.99,10,ok!!!
John Sharma,user405@example.com,6619954325,  Hyderabad  ,15-04-2022,Camera,14263.11,3,  urgent  
John Das,user266@example.com,9104912170,  Chennai  ,14-05-2023,Mobile,21393.33,6,  review  
Anu Das,user407@example.com,8653156509,Bangalore!!!,23-07-2021,Headphones,33972.52,5,  deliver fast  
Anu Singh,user322@example.com,9023157916,  Mumbai  ,23-04-2024,Mobile,41725.93,8,  ok  
Raj Singh,user134@example.com,9919578741,Chennai!!!,28-01-2024,Laptop,41564.46,4,deliver fast!!!
Meena Kumar,user492@example.com,9134004907,Delhi!!!,17-04-2024,Camera,45853.25,9,     
Raj Sharma,user87@example.com,8386454092,Hyderabad!!!,06-11-2024,Tablet,12416.03,6,urgent!!!
John Sharma,user488@example.com,9602938483,Mumbai!!!,19-05-2025,Headphones,28928.51,2, !!!
Meena Kumar,user344@example.com,6693814921,Chennai!!!,19-11-2025,Headphones,1169.07,6, !!!
Raj Sharma,user36@example.com,6311364247,  Bangalore  ,12-04-2023,Camera,46409.24,2,review!!!
Anu Sharma,user396@example.com,,Bangalore!!!,21-08-2020,Laptop,42142.06,10,  deliver fast  
John Das,user204@example.com,7675427780,  Mumbai  ,12-10-2021,Mobile,19500.52,1,review!!!
Anu Reddy,user2@example.com,8867714194,  Mumbai  ,05-06-2020,Laptop,39837.59,2,deliver fast!!!
Meena Sharma,user438@example.com,8057532736,  Hyderabad  ,08-05-2020,Laptop,29003.93,5,review!!!
Raj Kumar,,8634131359,  Mumbai  ,26-10-2023,Mobile,1553.14,6,  deliver fast  
Kiran Das,,9022894493,  Chennai  ,25-12-2022,Camera,24189.87,6,  deliver fast  
John Sharma,,6961772192,  Bangalore  ,26-09-2024,Headphones,11545.34,4, !!!
Kiran Reddy,user179@example.com,6304240684,Mumbai!!!,23-07-2023,Laptop,13171.09,1,  ok  
Kiran Reddy,user284@example.com,9105403809,  Mumbai  ,24-08-2023,Laptop,11781.77,2,review!!!
Meena Reddy,user48@example.com,7313038090,  Chennai  ,01-06-2024,Mobile,25677.69,2,  urgent  
John Singh,,9397138479,Chennai!!!,21-07-2024,Mobile,34076.37,1,     
Raj Kumar,user318@example.com,9167230198,  Bangalore  ,03-06-2023,Laptop,13440.74,6,  urgent  
Raj Das,user191@example.com,9573413277,Chennai!!!,03-04-2020,Laptop,13576.83,7,  review  
Meena Singh,user140@example.com,7122154509,Delhi!!!,20-04-2023,Laptop,26098.74,5,  ok  
John Kumar,user181@example.com,8049399072,Chennai!!!,13-12-2025,Camera,40715.56,1, !!!
Meena Kumar,user334@example.com,6146887109,Delhi!!!,17-09-2024,Mobile,41575.95,8,review!!!
Kiran Kumar,user27@example.com,7411056511,  Hyderabad  ,10-03-2020,Camera,49673.82,8,deliver fast!!!
Anu Das,user35@example.com,6622975183,Hyderabad!!!,17-03-2024,Headphones,44130.65,3,     
Raj Singh,user297@example.com,8772816127,  Hyderabad  ,06-03-2024,Tablet,41019.78,7,     
Meena Das,user246@example.com,6910190054,  Bangalore  ,24-02-2025,Tablet,23136.16,10,     
John Kumar,user39@example.com,,  Hyderabad  ,20-11-2022,Tablet,31969.74,2,  review  
John Sharma,user45@example.com,7998892037,  Chennai  ,05-12-2023,Laptop,14235.08,3,  urgent  
Raj Reddy,user461@example.com,7064973472,  Delhi  ,08-07-2024,Headphones,6201.01,4,ok!!!
John Das,user239@example.com,6455170559,Bangalore!!!,12-11-2022,Headphones,11829.78,4,  deliver fast  
Raj Reddy,,8844465617,Bangalore!!!,16-02-2024,Headphones,3765.23,9,  urgent  
Raj Kumar,user110@example.com,6580068103,Bangalore!!!,07-11-2025,Laptop,4315.38,8,  ok  
Kiran Reddy,user90@example.com,6683507605,  Bangalore  ,07-04-2024,Mobile,32450.88,9,deliver fast!!!
Anu Das,,8536995734,  Bangalore  ,10-11-2021,Tablet,18718.28,2,urgent!!!
Raj Kumar,user189@example.com,8646015838,Hyderabad!!!,05-09-2025,Tablet,31165.62,7,     
Raj Sharma,user5@example.com,8452640492,Delhi!!!,17-10-2023,Mobile,47172.98,5,review!!!
Meena Reddy,user373@example.com,8252904790,Chennai!!!,28-11-2022,Headphones,46124.67,2,  ok  
Meena Singh,user201@example.com,8122411807,  Chennai  ,13-10-2022,Camera,6830.12,2,  review  
Kiran Sharma,user250@example.com,6869740250,  Hyderabad  ,04-11-2024,Laptop,14375.73,3, !!!
John Reddy,,9677248372,  Mumbai  ,08-04-2024,Laptop,8387.57,5,deliver fast!!!
Meena Das,,8335746743,  Chennai  ,24-08-2021,Headphones,32724.1,1,  deliver fast  
Raj Singh,user439@example.com,6423326964,Delhi!!!,12-01-2020,Laptop,24602.44,7,ok!!!
Kiran Kumar,user137@example.com,7960257201,Mumbai!!!,26-08-2024,Laptop,9724.41,10,  ok  
Meena Singh,user108@example.com,6771715403,Mumbai!!!,27-02-2020,Headphones,23395.52,8,deliver fast!!!
Anu Das,user143@example.com,8101379390,Bangalore!!!,23-08-2021,Laptop,5642,3,     
Kiran Sharma,user45@example.com,9207886740,  Mumbai  ,18-03-2021,Tablet,10946.16,6,ok!!!
Kiran Kumar,user381@example.com,9496159339,  Chennai  ,18-10-2021,Camera,20452.08,2,review!!!
Meena Singh,user93@example.com,7445262788,  Bangalore  ,21-12-2022,Tablet,24168.13,9,  deliver fast  
Meena Kumar,,6558729880,Bangalore!!!,08-03-2023,Laptop,11761.03,6, !!!
Meena Sharma,user423@example.com,9432427982,  Bangalore  ,24-07-2021,Tablet,12970.46,2,  deliver fast  
Raj Reddy,,8906154556,  Mumbai  ,10-10-2020,Mobile,42978.99,7,  deliver fast  
Raj Sharma,user114@example.com,6189001112,Bangalore!!!,09-07-2021,Tablet,36717.29,8,     
Anu Singh,user249@example.com,8270504281,  Bangalore  ,18-03-2021,Camera,29312.39,4,review!!!
Kiran Kumar,user94@example.com,7880640730,  Chennai  ,16-11-2025,Camera,27511.11,6,  deliver fast  
Kiran Reddy,user13@example.com,,Bangalore!!!,14-04-2022,Laptop,25162.92,10,  review  
Raj Sharma,user470@example.com,7318616405,Chennai!!!,18-09-2024,Camera,43156.51,6,review!!!
Kiran Singh,user493@example.com,8982111329,  Bangalore  ,24-05-2025,Mobile,42695.44,7,     
John Singh,user41@example.com,7379588360,  Mumbai  ,04-12-2022,Camera,14761.78,4,  urgent  
Anu Sharma,user286@example.com,6320730481,  Hyderabad  ,02-10-2022,Mobile,32295.85,7,  ok  
Anu Reddy,user28@example.com,,  Delhi  ,11-01-2020,Camera,45236.59,2, !!!
Kiran Singh,user178@example.com,7935985037,  Chennai  ,17-10-2020,Camera,6988.3,1, !!!
John Reddy,user252@example.com,,  Delhi  ,07-01-2020,Laptop,27695.69,10,  review  
Meena Sharma,user403@example.com,6203086711,  Chennai  ,02-01-2022,Camera,42870.39,4,urgent!!!
Meena Kumar,user33@example.com,8820757913,Hyderabad!!!,14-05-2025,Headphones,17024.28,7, !!!
Raj Reddy,user169@example.com,9578979735,  Chennai  ,03-09-2021,Headphones,4670.6,4,  ok  
John Reddy,,6356652473,Hyderabad!!!,20-04-2020,Headphones,18545.35,6,  deliver fast  
Meena Singh,user433@example.com,9441828297,  Bangalore  ,01-12-2021,Camera,31904.16,7,  urgent  
Raj Reddy,user248@example.com,7730503360,  Bangalore  ,22-03-2022,Headphones,15332.3,9, !!!
John Reddy,user182@example.com,6801443743,Chennai!!!,02-02-2024,Tablet,39077.29,10,deliver fast!!!
Raj Kumar,user205@example.com,6587431514,Bangalore!!!,17-02-2022,Headphones,27249.66,1, !!!
Kiran Kumar,user70@example.com,,  Mumbai  ,04-03-2023,Headphones,31436.33,3,ok!!!
Anu Sharma,,6144323476,Hyderabad!!!,10-06-2023,Mobile,4858.8,4,review!!!
Anu Reddy,user350@example.com,7308224934,Chennai!!!,01-12-2020,Headphones,37288.86,4,  urgent  
John Sharma,user35@example.com,8928352700,  Bangalore  ,01-09-2024,Headphones,18826.06,6,deliver fast!!!
Meena Kumar,user95@example.com,8361414725,  Delhi  ,20-06-2021,Laptop,32172.87,9,  urgent  
Meena Kumar,user463@example.com,6075740337,  Mumbai  ,26-11-2024,Headphones,34339.64,9,  deliver fast  
Raj Singh,user61@example.com,7372918484,  Chennai  ,11-09-2025,Mobile,40828.09,9,  ok  
Meena Kumar,user35@example.com,8820800318,  Mumbai  ,05-04-2025,Mobile,14774.61,9,ok!!!
Raj Kumar,user76@example.com,6945150735,Chennai!!!,17-11-2023,Mobile,4387.78,4,     
Anu Sharma,user37@example.com,6236464096,  Delhi  ,27-09-2023,Camera,3971.57,10,review!!!
Kiran Das,user152@example.com,8483741460,  Chennai  ,20-05-2023,Mobile,20873.18,3,  urgent  
Meena Singh,user180@example.com,,  Chennai  ,21-05-2021,Mobile,39177.71,7,urgent!!!
Raj Singh,,6830287978,  Chennai  ,18-06-2020,Laptop,9785.42,9, !!!
Raj Singh,user436@example.com,6526476957,Chennai!!!,10-08-2022,Headphones,16723.41,4,urgent!!!
John Das,user205@example.com,8911494430,  Hyderabad  ,13-06-2025,Headphones,8144.37,10, !!!
Anu Sharma,user206@example.com,8124562628,  Delhi  ,16-04-2020,Mobile,34307.36,1,  review  
John Sharma,,9534476774,Bangalore!!!,05-03-2024,Mobile,23183.98,8,deliver fast!!!
Anu Sharma,user157@example.com,,Mumbai!!!,07-12-2023,Laptop,4516.79,9,  deliver fast  
Meena Singh,user190@example.com,6233051170,  Chennai  ,04-08-2021,Headphones,7534.7,9, !!!
John Kumar,user47@example.com,9134955117,  Delhi  ,18-09-2021,Headphones,28885.64,6, !!!
John Das,user319@example.com,9228106611,Bangalore!!!,14-11-2023,Tablet,40730.43,9,  ok  
Kiran Kumar,user270@example.com,6584310370,  Mumbai  ,08-09-2022,Camera,40180.79,3, !!!
John Singh,user3@example.com,7257800439,  Mumbai  ,05-09-2022,Camera,37791.92,3,deliver fast!!!
Meena Sharma,user309@example.com,9611118911,  Bangalore  ,01-08-2020,Camera,47915.5,1,  ok  
John Singh,user417@example.com,6981798428,  Chennai  ,17-03-2022,Camera,13967.65,7,ok!!!
Anu Das,user222@example.com,9460777625,  Delhi  ,16-07-2025,Mobile,32131.66,2,  urgent  
Anu Das,user24@example.com,,  Hyderabad  ,18-09-2024,Camera,2662.93,9,urgent!!!
Meena Reddy,user410@example.com,8858405762,  Bangalore  ,14-09-2020,Tablet,23732.84,3,review!!!
Anu Kumar,user478@example.com,6941809416,Delhi!!!,27-04-2020,Headphones,49666.68,6,  ok  
Kiran Singh,user270@example.com,,  Bangalore  ,27-05-2021,Headphones,22839.43,9,  urgent  
Kiran Das,user247@example.com,7482575726,  Bangalore  ,05-02-2022,Laptop,22121.85,7,ok!!!
Kiran Singh,user463@example.com,9912723659,  Delhi  ,21-08-2020,Tablet,29168.29,9,review!!!
John Das,,8581089335,Delhi!!!,24-11-2022,Headphones,21714.9,8,  review  
Anu Das,user197@example.com,9562774978,Delhi!!!,19-05-2025,Headphones,49720.92,3, !!!
Anu Das,user115@example.com,6514973179,Hyderabad!!!,13-02-2023,Camera,8689.06,7,urgent!!!
Kiran Singh,user10@example.com,9870221336,Chennai!!!,12-02-2024,Laptop,40378.55,10,     
Anu Kumar,,8770197736,  Bangalore  ,17-10-2025,Laptop,13718.11,3,deliver fast!!!
Meena Sharma,user202@example.com,7911800757,  Chennai  ,27-05-2022,Camera,27741.1,5,     
Anu Singh,user440@example.com,6131828505,  Chennai  ,18-07-2024,Mobile,30291.52,4,  review  
Raj Kumar,user137@example.com,,Chennai!!!,12-03-2020,Camera,14328.81,6, !!!
Anu Kumar,user278@example.com,9995708138,Delhi!!!,07-06-2024,Mobile,11216.02,3,     
Kiran Kumar,user21@example.com,9947343246,  Chennai  ,03-11-2020,Mobile,20163.51,1,urgent!!!
John Kumar,,8848526908,  Chennai  ,23-05-2024,Mobile,38713.18,9, !!!
Anu Reddy,user159@example.com,7528369520,  Hyderabad  ,08-01-2020,Tablet,4517.53,8,  ok  
Anu Das,,,  Chennai  ,04-06-2022,Mobile,5034.75,2,     
Raj Singh,user413@example.com,,  Delhi  ,09-11-2020,Headphones,27252.53,8,  deliver fast  
Raj Singh,user189@example.com,8180311085,Hyderabad!!!,18-02-2025,Camera,4006.79,2,deliver fast!!!
Meena Sharma,user175@example.com,7112186594,Hyderabad!!!,19-09-2020,Tablet,3459.53,4,review!!!
Anu Singh,user111@example.com,,  Delhi  ,05-02-2024,Headphones,29957.41,2,  deliver fast  
Kiran Singh,user16@example.com,,  Delhi  ,27-04-2024,Camera,7374.48,5,  urgent  
John Kumar,user471@example.com,6591237769,  Bangalore  ,01-09-2022,Laptop,28236.79,2,  review  
Kiran Reddy,user330@example.com,6798230482,  Hyderabad  ,11-06-2020,Tablet,32063.28,4,     
John Kumar,user163@example.com,,Delhi!!!,22-07-2020,Tablet,33852.41,7,urgent!!!
Kiran Kumar,user33@example.com,8077578653,Hyderabad!!!,27-07-2023,Laptop,29704.78,4,  review  
Raj Singh,user186@example.com,7674126989,Bangalore!!!,28-06-2021,Headphones,41588.61,6,     
John Reddy,user292@example.com,8252700853,  Hyderabad  ,17-03-2023,Camera,46869.65,1,  review  
Anu Das,user153@example.com,8488964475,Mumbai!!!,10-02-2024,Headphones,49573.2,6,ok!!!
Kiran Sharma,user60@example.com,9554726574,Delhi!!!,18-08-2025,Camera,13338.32,8,urgent!!!
John Singh,user355@example.com,9396603073,  Hyderabad  ,21-11-2022,Laptop,41842.68,2,  deliver fast  
Anu Sharma,user219@example.com,,  Hyderabad  ,10-01-2021,Tablet,8293.51,4,  urgent  
Raj Reddy,user179@example.com,7322228983,Hyderabad!!!,15-08-2023,Tablet,4881.62,1,  ok  
John Sharma,user270@example.com,9698960212,  Chennai  ,18-09-2020,Headphones,12132.73,1,  ok  
Raj Singh,user393@example.com,7007578228,  Mumbai  ,22-03-2022,Laptop,40759.3,6,ok!!!
Kiran Singh,user167@example.com,9038235441,  Bangalore  ,24-02-2025,Laptop,43562.91,7,deliver fast!!!
Raj Das,user434@example.com,9699724854,  Mumbai  ,22-02-2023,Headphones,3534.75,6,  urgent  
Meena Reddy,user94@example.com,9777511755,Delhi!!!,03-07-2022,Laptop,39695.36,3,urgent!!!
Anu Singh,user201@example.com,7775694547,Chennai!!!,18-06-2020,Tablet,35853.21,5,review!!!
John Reddy,user135@example.com,8532280449,  Hyderabad  ,03-05-2021,Mobile,18939.25,2,     
Raj Singh,user152@example.com,7043253801,  Delhi  ,05-10-2023,Headphones,33204.67,10, !!!
Kiran Das,user486@example.com,9128698348,Hyderabad!!!,13-11-2023,Headphones,42037.44,4,     
Anu Das,user316@example.com,6866113955,Bangalore!!!,13-11-2023,Laptop,5825.56,8,urgent!!!
Meena Das,user50@example.com,8468417483,  Delhi  ,09-01-2021,Tablet,12658.73,9, !!!
Anu Kumar,,,Delhi!!!,11-05-2024,Headphones,30015.81,6,  ok  
Meena Sharma,user234@example.com,6568080300,  Hyderabad  ,21-06-2021,Camera,5117.62,6,ok!!!
Meena Das,user418@example.com,6307522890,  Chennai  ,04-09-2022,Laptop,47764.19,4,urgent!!!
Kiran Singh,user281@example.com,9761479984,  Bangalore  ,08-07-2022,Mobile,7722.91,2,  review  
John Sharma,user318@example.com,8807747445,  Delhi  ,06-04-2023,Tablet,37834.1,9,  review  
Anu Das,user149@example.com,8466798962,  Hyderabad  ,05-09-2025,Tablet,36435.34,8,ok!!!
Meena Kumar,user1@example.com,9090911672,  Mumbai  ,21-11-2023,Camera,47390.21,5,  review  
Kiran Reddy,user226@example.com,7929627005,Mumbai!!!,05-08-2020,Headphones,41553.44,4,  urgent  
Meena Sharma,user168@example.com,,  Hyderabad  ,28-02-2020,Tablet,36909.71,10,ok!!!
Anu Singh,user402@example.com,6812866072,Mumbai!!!,05-07-2021,Headphones,40698,1,urgent!!!
Anu Singh,user135@example.com,9885310747,Chennai!!!,15-08-2022,Laptop,9428.54,7, !!!
Kiran Reddy,user323@example.com,9405458062,Chennai!!!,05-02-2023,Laptop,9526.21,8,  deliver fast  
Raj Reddy,,8047042364,Mumbai!!!,22-02-2020,Mobile,35618.74,6,  ok  
Raj Kumar,user197@example.com,9192794982,  Bangalore  ,12-08-2025,Tablet,39009.44,6,urgent!!!
Kiran Singh,user143@example.com,7155119641,  Bangalore  ,07-02-2022,Laptop,48741.4,8,     
John Sharma,user107@example.com,,Delhi!!!,27-08-2020,Camera,45624.52,9,urgent!!!
Kiran Reddy,,,  Delhi  ,10-03-2022,Tablet,12928.08,2,urgent!!!
Kiran Singh,,6958094718,  Delhi  ,26-06-2024,Mobile,8550.12,9,ok!!!
Kiran Das,user167@example.com,6547194431,Hyderabad!!!,16-09-2020,Mobile,32526.96,8,  ok  
John Kumar,user175@example.com,6240761025,Hyderabad!!!,19-03-2020,Laptop,17111.19,8,deliver fast!!!
Anu Das,user99@example.com,6253810153,Mumbai!!!,06-02-2025,Headphones,1873.04,7, !!!
Kiran Singh,user34@example.com,,Chennai!!!,15-07-2023,Tablet,18337.39,7,ok!!!
Meena Das,,8864541386,Hyderabad!!!,02-08-2023,Camera,41521.65,3,  review  
Raj Sharma,,8298179009,Mumbai!!!,21-04-2020,Tablet,5639.79,3,ok!!!
Kiran Reddy,user325@example.com,8262893608,  Chennai  ,22-11-2020,Mobile,42758.92,9,  urgent  
Raj Sharma,user407@example.com,9810074708,Delhi!!!,26-06-2020,Mobile,19673.49,4,review!!!
Anu Reddy,user489@example.com,,Bangalore!!!,22-11-2021,Mobile,45783.8,8,  deliver fast  
Raj Kumar,user16@example.com,,  Mumbai  ,15-07-2025,Mobile,7975.11,3,  deliver fast  
Raj Reddy,user265@example.com,8320147446,Chennai!!!,07-02-2023,Mobile,13430.41,1,  urgent  
Kiran Das,,8279707021,  Mumbai  ,17-11-2024,Mobile,12449.26,5,  urgent  
Kiran Reddy,,,Mumbai!!!,06-02-2024,Laptop,43647.7,4,deliver fast!!!
Kiran Reddy,user371@example.com,7262846736,Bangalore!!!,26-03-2021,Camera,40075.5,9,     
Raj Reddy,user265@example.com,9605585431,Hyderabad!!!,25-09-2025,Tablet,5627.54,6,  urgent  
John Kumar,user405@example.com,,  Hyderabad  ,22-03-2022,Tablet,49374.96,2,  review  
Meena Kumar,user447@example.com,9741652855,Delhi!!!,03-03-2022,Headphones,31877.85,6,  deliver fast  
Raj Singh,user420@example.com,8813516401,Bangalore!!!,13-03-2025,Camera,39177.36,10,  deliver fast  
Anu Kumar,user461@example.com,,Chennai!!!,26-12-2021,Camera,41549.6,5,  review  
John Singh,user473@example.com,9458541157,Chennai!!!,04-04-2022,Headphones,7403.53,4,urgent!!!
Raj Kumar,user297@example.com,7062472961,Hyderabad!!!,19-05-2020,Laptop,47399.83,7,  deliver fast  
John Kumar,user337@example.com,9666834617,  Delhi  ,24-11-2022,Mobile,33456.8,5,urgent!!!
Meena Kumar,user138@example.com,,Delhi!!!,21-06-2025,Mobile,17358.86,9,  urgent  
John Kumar,user411@example.com,8273659781,  Mumbai  ,26-02-2020,Tablet,25651.02,7, !!!
John Reddy,user119@example.com,7665303924,Bangalore!!!,03-09-2020,Headphones,28070.18,1,review!!!
Meena Reddy,user196@example.com,,  Chennai  ,28-04-2020,Headphones,3196.77,1,review!!!
Anu Sharma,user8@example.com,8565240734,Bangalore!!!,03-08-2025,Tablet,36394.09,9,review!!!
Anu Reddy,user238@example.com,9998262964,Mumbai!!!,14-11-2024,Mobile,14606.23,8, !!!
